Year,School,School Type,Speaker/Performer/Title,Type of Expression,Controversy Topic(s),Source(s),Political Motives of Source(s),Petition For,Petition Against,Outcome,Reinvited/ Rescheduled/ Relocated?,Controversy Explanation,Public Response,Read More,fire_id
2023,Northwestern University,Secular,James Lindsay,Campus Speech,"Gender, Race, Sexuality",Student(s),From the Left,No,No,Disinvitation Attempt,Not Applicable,"Students objected to the College Republicans' and Young Americans for Freedom's invitation to Lindsay to speak on campus, referring to Lindsay as a conspiracy theorist, anti-LGBTQ+ activist, and an anti-Semite. Numerous students emailed the president's office to complain about Lindsay's appearance on campus, asking for the event to be canceled. Lindsay spoke successfully.","Condemned Content of Expression, Appeased Protesters. The university president sent an email that said: ""We understand that many members of our community oppose the ideals put forth by James A. Lindsay, whose campus visit is organized by registered student groups. Many of his views are antithetical to Northwestern's values . . . As an institute of higher education that upholds the principles of academic freedom and open discourse, we believe that universities serve a vital role as venues for rigorous debate and discourse. We provide many resources to support the academic and personal well-being of our students, and encourage them to engage difficult topics in productive ways.""",[],65c150ff79db8200391e910c
2023,Oberlin College,Secular,Israelism,Cinema,Israeli-Palestinian Conflict,Unknown,From the Right,No,No,Cancellation Attempt,Not Applicable,"The university received a ""barrage"" of emails from unknown sources demanding that it prohibit a screening of the film, Israelism. The film was screened successfully.",Unknown,[],65c150ff79db8200391e9113
2023,Ohio State University,Public,Charlie Kirk,Campus Speech,"Abortion, Civil Liberties, Gender, Health, Political Views, Race","Student Group(s), Student(s)",From the Left,No,Yes,Disinvitation Attempt,Not Applicable,"The Ohio State Chapter of Turning Point USA invited Kirk (and Candace Owens) to campus. A student group, the Ohio State Revolutionary Student Front, started a petition to keep Kirk off campus and protested against the presence of both Kirk and Candace Owens because of their alleged racism, sexism, and homophobia.","Honor Roll
Neutral. The university communications website included the following statement: ""Regarding demonstrations, Ohio State supports the right of our students, faculty and staff to peacefully express their views and to speak about issues that are important to them. . . .Freedom of speech and civic engagement are central to our values as an institution of higher education.""",[],65c150ff79db8200391e911a
2023,Old Dominion University,Public,Glenn Youngkin,Commencement Speech,"Class or Policy Issues, Gender, Race","Alumni, General Public, Student Group(s), Student(s)",From the Left,No,Yes,Disinvitation Attempt,Not Applicable,"Alumni petitioned the university to rescind its invitation of Youngkin to speak at commencement, claiming Youngkin's stance on transgender rights, the black community, and women's rights go completely against what the university claims to stand for. Some students booed and turned their backs at commencement but the disruptions did not prevent Youngkin from finishing his speech.","Honor Roll, High Honors
Neutral. A spokesperson for the university said: “ODU has a mission and history of welcoming differences. . . . [and] that the university is committed to fostering an environment for the meaningful expression of ideas and we encourage respectful and collegial dialogue.”",[],65c150ff79db8200391e9121
2023,Pennsylvania State University,Public,Riley Gaines,Campus Speech,Gender,General Public,From the Left,No,No,Attempted Disruption,Not Applicable,"After the university informed Gaines that her appearance was not booked properly, student organizers held a ""Free Speech Rally"" outside, where Gaines spoke amid protester cries that she is transphobic. Before Gaines' arrival, two nonstudent protesters were arrested for knocking over a table set up by Turning Point USA, the student group that had invited Gaines to campus.","Neutral. In a press release, the university said: ""Penn State believes in free speech for all. Ms. Gaines had a megaphone, while counter protesters had their voices. Both sides were heard.""",[],65c150ff79db8200391e9128
2023,Pennsylvania State University,Public,Riley Gaines,Campus Speech,Gender,Administrator(s),From the Left,No,No,Rejected,Yes,The campus chapter of Turning Point USA tried to schedule a speaking event featuring Gaines but university administrators said the event was not booked properly — a claim the sponsoring group disputed. Gaines spoke at a different event on the common green.,"Neutral (disingenuous).  The university media office told reporters: “Initially, Turning Point USA, the student group bringing Ms. Gaines to campus, sought indoor space, but did not meet the deadline for submitting the required reservation documents — an expectation upheld for any recognized student organization at Penn State.” 

Condemned Content of Expression, Appeased Protesters. A month before the event and before Gaines' rejection as a potential speaker, the university president made a video discussing free speech and said some things seemingly directed at Gaines, or at least at controversial speakers like Gaines: “So what can we do about speakers who come to Penn State to anger, hurt and incite members of our community? Speak out clearly and firmly against hateful speech as well as other instances of discrimination. Hurtful rhetoric causes real fear and anxiety among our community, and those individuals need your support.”",[],65c150ff79db8200391e9130
2023,Pensacola Christian College,Religious,The King's Singers,Performance,"Religion, Sexuality",Administrator(s),From the Right,No,No,Revoked,No,"The college canceled a performance by The King's Singers, objecting to the fact that a member of the group is gay.","Condemned Speaker (or Artist) as a Person. In a statement posted to Twitter the college stated: ""The college cannot knowingly give an implied or direct endorsement of anything that violates the Holy Scripture. PCC canceled a concert with The King's Singers upon learning that one of the artists openly maintained a lifestyle that contradicts Scripture.""",[],65c150ff79db8200391e9137
2023,Purdue University,Public,Michael Knowles,Campus Speech,Gender,"Administrator(s), Student(s)",From the Left,No,Yes,Disinvitation Attempt,Not Applicable,"Various branches of the student government passed numerous anti-Knowles resolutions and students petitioned the student organization, the campus chapter of Young Americans for Freedom, to cancel a lecture by Knowles. Student activities administrators ordered students to stop advertising the event, claiming that the event had yet to receive university approval even though a contract was signed, a venue was booked, and tickets had been distributed to students. The administration backed down after being threatened with legal action. Knowles spoke sucessfully.","Neutral (Disingenuous).  An article reported: ""Officially, the Purdue administration has said Knowles does not represent the university – and it encourages 'anyone who disagrees with student organization speakers' viewpoints to speak up with theirs.'”",[],65c150ff79db8200391e913e
2023,"Rutgers University, New Brunswick",Public,Marc Lamont Hill,Campus Speech,Israeli-Palestinian Conflict,"Anonymous, Politician(s),",From the Right,No,No,Disinvitation Attempt,Not Applicable,"A congressman wrote a letter to the university president asking him to uninvite two of three speakers, one of whom was Hill, from a faculty seminar open to the public, characterizing the speakers as anti-Semitic and anti-Israel. The president refused.","Honor Roll
Neutral. A university spokesperson said: ""This is an academic seminar supported by Mellon Foundation funding. Rutgers University has a longstanding policy protecting academic freedom, which allows our faculty members, in the discharge of their duties and within the bounds of the law and university policy, to express their ideas and to challenge the ideas of others without fear of retribution. This includes the expression of viewpoints that others within the university community may not share and, in fact, may vigorously oppose - as many do in this case. Rutgers is a community of diverse ideas; we value academic freedom’s protections that allow our faculty and invited guest lecturers to state their views and engage in lively discourse""Hono",[],65c150ff79db8200391e9145
2023,"Rutgers University, New Brunswick",Public,Nick Estes,Campus Speech,Israeli-Palestinian Conflict,"Anonymous, Politician(s),",From the Right,No,No,Disinvitation Attempt,Not Applicable,"A congressman wrote a letter to the university president asking him to uninvite two of three speakers, one of whom was Estes, from a faculty seminar open to the public, characterizing the speakers as anti-Semitic and anti-Israel. The president refused.","Honor Roll
Neutral. A university spokesperson said: ""This is an academic seminar supported by Mellon Foundation funding. Rutgers University has a longstanding policy protecting academic freedom, which allows our faculty members, in the discharge of their duties and within the bounds of the law and university policy, to express their ideas and to challenge the ideas of others without fear of retribution. This includes the expression of viewpoints that others within the university community may not share and, in fact, may vigorously oppose - as many do in this case. Rutgers is a community of diverse ideas; we value academic freedom’s protections that allow our faculty and invited guest lecturers to state their views and engage in lively discourse""",[],65c150ff79db8200391e914c
