Year,School,School Type,Speaker/Performer/Title,Type of Expression,Controversy Topic(s),Source(s),Political Motives of Source(s),Petition For,Petition Against,Outcome,Reinvited/ Rescheduled/ Relocated?,Controversy Explanation,Public Response,Read More,fire_id
2005,"University of Hawaii, Manoa",Public,Ward Churchill,Campus Speech,Terrorism,"Politican(s), Student Group(s)",From the Right,No,No,Disinvitation Attempt,Not Applicable,The College Republicans protested the university's invitation of Churchill because of Churchill's comments about 9/11 victims. A state legislator also said that the university could jeopardize its funding by allowing Churchill to speak. Churchill delivered his speech.,"Condemned Content of Expression, Appeased Protesters. The university president said that he found Churchill's views ""personally offensive, wildly inaccurate and remarkably hurtful to those who lost loved ones there on that day.""",[],65c1511779db8200391eb009
2005,University of Kansas,Public,Ann Coulter,Campus Speech,Political Views,"Activist(s), Student(s)",From the Left,No,No,Attempted Disruption,Unknown,"Members of the audience heckled Coulter, objecting to her conservative views. University public safety officers removed six people from the event. Coulter finished delivering her remarks.",None,[],65c1511779db8200391eb010
2005,University of Notre Dame,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality","Activist(s), Public Figure(s)",From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the university president to cut all ties or sponsorships of the performance. A sample letter — along with the university president's address, email, and phone number — was provided on the Cardinal Newman Society's website. A local bishop also opposed the performance and questioned whether academic freedom was a proper rationale for hosting the play. The event took place.","None. A university spokesman said: ""We appreciate the Bishop's point of view, but we have no additional comment.""",[],65c1511779db8200391eb017
2005,University of Oregon,Public,Ward Churchill,Campus Speech,Terrorism,Faculty,From the Right,No,No,Revoked,No,"The university revoked Churchill's invitation to be a keynote speaker at a conference on race and immigration, fearing that Churchill's comments regarding 9/11 would shift the focus away from the intended subject of the conference.","Condemned Content of Expression. The director of center of law and policy said: ""We felt that we had developed a very good and scholarly conference, and we wanted to proceed with it and that the best thing would be to not have his part of the keynote lunch.""",[],65c1511779db8200391eb01e
2005,University of San Francisco,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the university president to cut all ties or sponsorships of the performance. A sample letter — along with the university president's address, email, and phone number —&nbsp;was provided on the Cardinal Newman Society's website. The event took place.",Unknown,[],65c1511779db8200391eb025
2005,"University of Wisconsin, Whitewater",Public,Ward Churchill,Campus Speech,Terrorism,"Faculty, Politician(s), Student(s)",From the Right,No,No,Disinvitation Attempt,Not Applicable,"Students, faculty and legislators opposed  the UW-Whitewater Native American Support Services and the Native American Cultural Awareness Association ivitation to Churchill to speak on campus from because of Churchill's comments about 9/11 victims. Churchill delivered his speech.","Honor Roll
Neutral. The university's chancellor said: ""It is still my belief that the academy is at its best when it functions as a place for the free exchange of ideas . . . I do not share the fear of words apparently becoming more prevalent in our society.""",[],65c1511779db8200391eb02c
2005,Villanova University,Religious,Mary McAleese,Commencement Speech,"Civil Liberties, Religion, Sexuality",Activist(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,"The Cardinal Newman Society declared McAleese an ""inappropriate speaker"" for commencement and urged the university to rescind its invitation of McAleese because of McAleese's support for female ordination and gay rights. McAleese spoke successfully.",Unknown,[],65c1511779db8200391eb033
2005,Washington State University,Public,Passion of the Musical,Performance,Race,"Administrator(s), Student(s)",From the Left,No,No,Substantial Event Disruption,No,"Hecklers disrupted the performance of the play, The Passion of the Musical, several times, accusing the playwright of racism. The hecklers' tickets were paid for by the school administration, who also organized the protest against the performance by encouraging students to stand up and say, “I'm offended,” whenever they felt that way during the performance.",None,[],65c1511779db8200391eb03a
2005,Western Michigan University,Public,Pat Buchanan,Campus Speech,"Immigration, Political Views",Student(s),From the Left,No,No,Substantial Event Disruption,No,"Students protested Buchanan's conservative views on immigration. One student protester doused Buchanan in salad dressing during his speech, causing Buchanan to end the event early.","Neutral. A university spokesperson said: “He [the protestor] could have faced a felony assault charge, but Pat Buchanan decided to not press that charge.”",[],65c1511779db8200391eb041
2005,Wheaton College,Religious,Ward Churchill,Campus Speech,Terrorism,Administrator(s),From the Right,No,No,Revoked,No,"Wheaton College officials canceled a speaking event featuring Churchill, purportedly due to safety concerns, after learning of Churchill's comments about 9/11 victims.","Neutral (Disingenuous).  A spokesperson said: ""It is important to have a free and open, civil and tolerant exchange of ideas take place in a safe environment.”",[],65c1511779db8200391eb048
2004,American University,Secular,Michelle Malkin,Campus Speech,"Civil Liberties, Race","Student Group(s), Student(s)",From the Left,No,No,Revoked,No,"After inviting Malkin to campus, the College Republicans disinvited her out of concern over her support for WWII internment policies. There is some indication by Malkin that the university administration may have threatened the student group's funding if it didn't revoke the invitation.",None,[],65c1511779db8200391eb04f
2004,Boston College,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society took out a full-page ad in USA Today that said the president of the university —&nbsp;and the presidents of other mostly Catholic colleges and universities — was “permitting an obscenities-drenched production that defiles students” by allowing students to perform the play, The Vagina Monologues. The ad encouraged readers to register their protest by contacting university and college presidents on a provided list, which included their names, addresses, phone numbers, and emails. The event took place.",Unknown,[],65c1511779db8200391eb056
2004,Boston College Law School,Religious,Walter Dellinger,Commencement Speech,Abortion,Activist(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,"The Cardinal Newman Society declared Dellinger an ""inappropriate speaker"" for commencement because of his views on abortion and called on the law school to rescind Dellinger's invitation. Dellinger spoke successfully.",Unknown,[],65c1511779db8200391eb05d
