Year,School,School Type,Speaker/Performer/Title,Type of Expression,Controversy Topic(s),Source(s),Political Motives of Source(s),Petition For,Petition Against,Outcome,Reinvited/ Rescheduled/ Relocated?,Controversy Explanation,Public Response,Read More,fire_id
2012,"University of California, Davis",Public,Ran Bar-Yoshafat,Campus Speech,Israeli-Palestinian Conflict,Student(s),From the Left,No,No,Substantial Event Disruption,No,"Students opposed Bar-Yoshafat (and Ranya Fadel) for his pro-Israel views, and hecklers shut the speech down. Sponsoring students claimed administrators and campus police did little to stop the disruptions: They asked one heckler to leave, otherwise they just held back the crowds and escorted the speakers out.","Neutral (Disingenuous). A university spokesperson said that security officers followed the university’s “usual approach to conflict, which is to resolve issues with dialogue and engagement wherever possible.""",[],65c1511179db8200391ea7f5
2012,"University of California, Davis",Public,Ranya Fadel,Campus Speech,Israeli-Palestinian Conflict,Student(s),From the Left,No,No,Substantial Event Disruption,Yes,"Students opposed Radel (and Ran Bar-Yoshafat) for her pro-Israel views, and hecklers shut the speech down. Sponsoring students claimed administrators and campus police did little to stop the disruptions: They asked one heckler to leave, then held back the crowds and escorted the speakers out.","Neutral (Disingenuous). A university spokesperson said that security officers followed the university’s “usual approach to conflict, which is to resolve issues with dialogue and engagement wherever possible.""",[],65c1511179db8200391ea7fc
2012,"University of California, Irvine",Public,Osama Shabaik,Campus Speech,"Civil Liberties, Criminal or Other Misconduct, Israeli-Palestinian Conflict",Administrator(s),From the Right,Yes,No,Revoked,No,"The organizer of the TEDxUC Irvine conference disinvited Shabaik from speaking at the conference, citing Shabaik's ""overtly political"" nature and his past as a member of the ""Irvine 11,"" who disrupted a 2010 event featuring Israeli Ambassador Michael Oren.","Encouraged (Approved of) Self-Censorship. Student organizers said in response to pressure from the administration: Shabaik’s speech was ""not in line"" with what a TED talk was ""supposed"" to be.",[],65c1511179db8200391ea803
2012,University of New Mexico,Public,Nonie Darwish,Campus Speech,"Foreign Affairs, Israeli-Palestinian Conflict, Race","Public Figure(s), Student(s)",From the Left,No,No,Substantial Event Disruption,No,"The local Congregation B'nai Israel and it's rabbi opposed Darwish's invitation to campus. As the event began, a group of students ""mic checked,"" yelling that Darwish speaks for Israeli apartheid. Physical altercations between the students and other audience members ensued. No arrests were made.",None,[],65c1511179db8200391ea80a
2012,"University of North Carolina, Chapel Hill",Public,Michael Bloomberg,Commencement Speech,"Class or Policy Issues, Civil Liberties, Race",Student(s),From the Left,No,Yes,Disinvitation Attempt,Not Applicable,"Students opposed Bloomberg because of his treatment of the Occupy Wall Street movement and his support of NYPD's ""stop-and-frisk"" policy, and they circulated a petition online demanding Bloomberg's invitation to speak at commencement be rescinded. Students organized an alternative commencement ceremony. Bloomberg spoke successfully.","Supported Speaker (or Artist) as a Person.  The university announced Bloomberg as speaking because of his ""extraordinary career in business, philanthropy, and public service.""",[],65c1511179db8200391ea811
2012,Villanova University,Religious,Tim Miller,Performance,Sexuality,"General Public, Public Figure(s)",From the Right,No,No,Revoked,No,The university canceled Miller's performance art workshop after Catholic bloggers and commentators objected to Miller's gay rights activism.,"Condemned Content of Expression, Appeased Protesters. The official university statement included: ""We had concerns that his performances were not in keeping with our Catholic and Augustinian values and mission.""",[],65c1511179db8200391ea818
2011,Bellarmine University,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and directly contacted the university to confirm that the performance was scheduled and ask that it be canceled. The event took place.",Unknown,[],65c1511179db8200391ea81f
2011,Boston College Law School,Religious,Barney Frank,Campus Speech,"Abortion, Sexuality",Activist(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,The Cardinal Newman Society demanded Boston College cancel an event posthumously honoring Fr. Robert Drinan because of Drinan's views on abortion and because the speakers chosen — Frank (and Raymond Schroth) —&nbsp;were pro-choice. They also objected to Frank's homosexuality. Frank spoke successfully.,Unknown,[],65c1511179db8200391ea826
2011,Boston College Law School,Religious,Raymond Schroth,Campus Speech,"Abortion, Sexuality",Activist(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,The Cardinal Newman Society demanded that the college cancel an event posthumously honoring Fr. Robert Drinan because of Drinan's views on abortion and because the speakers chosen — Schroth (and Barney Frank) —&nbsp;were pro-choice. They also objected to Frank's homosexuality. Schroth spoke successfully.,Unknown,[],65c1511179db8200391ea82d
2011,"City University of New York, John Jay",Public,Tony Kushner,Commencement Speech,Israeli-Palestinian Conflict,Stakeholder(s),From the Right,No,No,Revoked,Yes,"Kushner faced opposition from university board members  because of his views on Israel, and the university's board of trustees voted to deny him an honorary degree. The board later reversed this decision and Kushner accepted the degree.","Honor Roll
Neutral. The chair of board of trustees wrote in a public statement: ""I would not ordinarily ask for reconsideration of a decision so recently taken, but when the board has made a mistake of principle, and not merely of policy, review is appropriate and, indeed, mandatory. . . . Like other honorary degrees, It is not intended to reflect approval or disapproval for political views not relevant to the field for which the recipient is being honored. Any other view is impractical as well as wrong in principle.""",[],65c1511179db8200391ea834
2011,Dartmouth College,Secular,George H. W. Bush,Commencement Speech,"Class or Policy Issues, Environment, Political Views, Race",Faculty,From the Left,No,Yes,Disinvitation Attempt,Not Applicable,75 faculty members signed a letter protesting the college's decision to award Bush an honorary degree without their input. They also criticized Bush's conservative policies. Bush was awarded the degree and spoke at commencement.,None,[],65c1511179db8200391ea83b
2011,Everett Community College,Community College,Raymond Ibrahim,Campus Speech,Religion,Activist(s),From the Left,No,Yes,Disinvitation Attempt,Not Applicable,The college faced outside pressure to disinvite Ibrahim because of his comments reagrding Islam. Ibrahim spoke successfully.,None,[],65c1511179db8200391ea842
2011,Fontbonne University,Religious,Greg Mortenson,Commencement Speech,Criminal or Other Misconduct,"Faculty, Student(s)",Not Applicable,No,No,Revoked,No,Students and faculty protested the university's invitation of Mortenson to deliver a commencement speech after Mortenson was accused of being inaccurate in his book. The university rescinded its invitation to Mortenson.,"Appeased Protesters. The university president said: ""The purpose of our commencement is to honor Fontbonne graduates. . . . We want to focus on their achievements and accomplishments.""",[],65c1511179db8200391ea849
2011,Fordham University,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Rejected,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and provided a sample letter on its website that included the contact information of the university's president. Student Affairs did not approve the performance, so the student organizers held it off campus instead.",Unknown,[],65c1511179db8200391ea850
2011,Gainesville State College,Public,Heritage?,Artwork,Race,"Administrator(s), General Public",From the Left,No,No,Removed,No,"A faculty member contributed a painting to the Faculty Biennial Exhibition depicting torch-wielding Ku Klux Klan members and a lynching superimposed onto an image of the Confederate flag. Following public criticism of the painting, the university president removed it without notifying the faculty member or the art gallery director.","Condemned Content of Expression, Appeased Protesters. In multiple statements the college president said: ""First and foremost, I have to consider the impact of an action on the health and reputation of the institution. In this instance, I made a judgment call that the negative results would outweigh the positive ones.""

""I stand behind my original decision which was not based on any one group’s agenda, complaint, or the overall content of the painting. It focused solely on the image that has been perceived as  aggressively hostile in other areas of the country and other academic institutions—that being the graphic depiction of a lynching.""",[],65c1511179db8200391ea857
2011,Georgetown University,Religious,Ann Coulter,Campus Speech,"Environment, Foreign Affairs, Political Views, Race, Religion","Student Group(s), Student(s)",From the Left,No,Yes,Disinvitation Attempt,Not Applicable,"The editorial board of the The Georgetown Voice opposed the College Republicans' invitation of Coulter, arguing that ""her ignorant hate speech has no place at Georgetown."" Students also created a Facebook page opposing the invitation. Coulter spoke successfully with little interruption.","Honor Roll
Neutral. The Lecture Fund VP said: ""We promote free exchange, and we are nonpartisan and that is extremely important to us.”",[],65c1511179db8200391ea85e
2011,Georgetown University,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and directly contacted the university to confirm that the performance was scheduled and ask that it be canceled. The event took place.",Unknown,[],65c1511179db8200391ea865
2011,John Carroll University,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and directly contacted the university to confirm that the performance was scheduled and ask that it be canceled. The event took place.",Unknown,[],65c1511179db8200391ea86c
2011,Johns Hopkins University,Secular,Karl Rove,Campus Speech,Foreign Affairs,"Activist(s), Student(s)",From the Left,No,No,Attempted Disruption,Not Applicable,"Students and activists planned to disrupt an event featuring Rove, objecting to Rove's support for the Iraq and Afghanistan wars. Some organized disrupters from ""Occupy Baltimore"" were removed and Rove spoke successfully.",None,[],65c1511179db8200391ea873
