Year,School,School Type,Speaker/Performer/Title,Type of Expression,Controversy Topic(s),Source(s),Political Motives of Source(s),Petition For,Petition Against,Outcome,Reinvited/ Rescheduled/ Relocated?,Controversy Explanation,Public Response,Read More,fire_id
2024,University of Pennsylvania,Secular,West Craft Fest,Artwork,Israeli-Palestinian Conflict,"Administrator(s), Anonymous",From the Right,No,No,Substantial Event Disruption,No,"After an anonymous person emailed the venue for the festival accusing it, and the university, of hosting vendors who support violence against Jewish people, and also complained about the inclusion of pro-Palestinian artists and artwork in the festival, the university asked the organizers to exclude any “items that depict, glorify, or incite violence of any kind whatsoever AND/OR are politically sensitive.” The organizaers moved the event to a smaller location that could not accommodate all of the original vendors set to attend the event.",None.,"['https://www.thedp.com/article/2025/01/penn-west-philly-craft-fest-cancelled-vendors', 'https://www.instagram.com/dailypenn/p/DE5b2FwP_cx/', 'https://www.westphillylocal.com/2024/12/13/handmade-holiday-gift-shopping-west-craft-fest-returns-this-weekend-to-the-rotunda/', 'https://www.therotunda.org/event/west-craft-fest-2024-12-14-10-00-00-0500']",67925202d299c102aa225ba9
2024,Harvard University,Secular,Dalal Saeb Iriqat,Campus Speech,Israeli-Palestinian Conflict,"Activist(s), Politician(s)",From the Right,No,No,Disinvitation Attempt,Not Applicable,"Iriqat was invited to speak on campus by Tarek Masoud, a professor at the university, as a part of his Middle East dialogue series. Politicians and the Anti-Defamation League condemned Iriqat's invitation because of tweets she sent on October 7, describing the Hamas attack on Israel as ""a normal human struggle 4 #Freedom"" and saying ""We will never forgive the Israeli right wing extreme government for making us take their children and elderly as hostages. . . . Justice shall prevail."" Iriqat spoke successfully, but the Harvard Kennedy School distanced itself from the event.","Condemned Expression.  A statement released by the Harvard Kennedy School said: ""Professor Tarek Masoud has established a series of events for the Harvard Kennedy School community to learn about the developments in Israel and Gaza and about possible pathways to peace. Consistent with the Kennedy School’s commitment to academic freedom for faculty members, Professor Masoud chose and invited the speakers for the series himself (as he has explained in a LinkedIn post). The purpose of the series is to provide a venue for debate and discussion, recognizing that different views will be offered and challenged—including views that many at the Kennedy School and beyond may disagree with vehemently and even find repugnant. Dean Douglas Elmendorf personally finds abhorrent the comments by Dalal Saeb Iriqat quoted in the press that justify and normalize the horrific terrorist attack by Hamas.""","['https://www.dailywire.com/news/harvard-kennedy-school-to-host-radical-palestinian-professor-who-blamed-israel-for-hamas-terrorist-attack', 'https://www.foxnews.com/media/harvard-to-host-palestinian-prof-who-blamed-israel-for-oct-7-called-attacks-normal-human-struggle', 'https://twitter.com/SenFettermanPA/status/1754172940956917877', 'https://www.bostonglobe.com/2024/02/05/metro/harvard-kennedy-school-controversy', 'https://www.thecrimson.com/article/2024/3/8/palestinian-professor-defends-controversial-posts/', 'https://www.thecrimson.com/article/2024/2/5/hks-distances-palestine-speaker/', 'https://www.bostonglobe.com/2024/03/07/metro/after-backlash-harvard-professor-holds-tense-conversation-israeli-palestinian-conflict/', 'https://x.com/SenFettermanPA/status/1754172940956917877?s=20', 'https://x.com/EliseStefanik/status/1754574539118280891?s=20', 'https://x.com/ADL_NewEngland/status/1754180774574559370?s=20', 'https://www.hks.harvard.edu/announcements/statement-middle-east-dialogues']",679c0433a109d72712379af8
2024,Harvard University,Secular,Mafaz Al-Suwaidan,Campus Speech,Israeli-Palestinian Conflict,"General Public, Student(s)",From the Right,No,No,Withdrew,No,"Al-Suwaidan was scheduled to appear on a panel about Islamophobia and antisemitism with Madeline J. Levy and Shaul Magid, and moderated by Lowell House Tutor Chance Bonar. Al-Suwaidan withdrew from the panel after the Lowell House Faculty Deans and the Edmond and Lily Safra Center for Ethics withdrew as sponsors of the event in response to complaints about Bonar's affiliation with a faculty group that recently reposted an ""antisemitic"" cartoon on social media and about Al-Suwaiden's social media posts about Israel and Palestine.",None.,"['https://www.thecrimson.com/article/2024/3/21/lowell-panel-canceled-backlash/', 'https://www.thecrimson.com/article/2024/3/20/islamophobia-antisemitism-panel-lowell-safra/']",679c08cfa109d7271237b242
2024,Harvard University,Secular,Madeline J. Levy,Campus Speech,Israeli-Palestinian Conflict,"General Public, Student(s)",From the Right,No,No,Withdrew,No,"Levy was scheduled to appear on a panel about Islamophobia and antisemitism with Mafaz Al-Suwaidan and Shaul Magid, and moderated by Lowell House Tutor Chance Bonar. It is not clear if Levy withdrew from the panel after the Lowell House Faculty Deans and the Edmond and Lily Safra Center for Ethics withdrew as sponsors of the event in response to complaints about Bonar's affiliation with a faculty group that recently reposted an ""antisemitic"" cartoon on social media and about Al-Suwaiden's social media posts about Istael and Palestine, however Magid has said he intended to appear on the panel despite the backlash and the withdrawal of sponsorship.",None.,"['https://www.thecrimson.com/article/2024/3/21/lowell-panel-canceled-backlash/', 'https://www.thecrimson.com/article/2024/3/20/islamophobia-antisemitism-panel-lowell-safra/']",679c09192542c5031b3d8e91
2024,Harvard University,Secular,Shaul Magid,Campus Speech,Israeli-Palestinian Conflict,"Administrator(s), General Public, Student(s)",From the Right,No,No,Revoked,No,"Magid was scheduled to appear on a panel about Islamophobia and antisemitism with Mafaz Al-Suwaidan and Madeline J. Levy and moderated by Lowell House Tutor Chance Bonar. It is not clear if Levy or Magid withdrew from the panel after the Lowell House Faculty Deans and the Edmond and Lily Safra Center for Ethics withdrew as sponsors of the event in response to complaints about Bonar's affiliation with a faculty group that recently reposted an ""antisemitic"" cartoon on social media and about Al-Suwaiden's social media posts about Istael and Palestine, however Magid has said he intended to appear on the panel despite the backlash and the withdrawal of sponsorship. After the witdrawal of Al-Suwaidan and, presumably, Levy the panel was canceled.",None.,"['https://www.thecrimson.com/article/2024/3/21/lowell-panel-canceled-backlash/', 'https://www.thecrimson.com/article/2024/3/20/islamophobia-antisemitism-panel-lowell-safra/']",679c09841468ad1d682c3936
2024,Harvard University,Secular,Chance Bonar,Campus Speech,Israeli-Palestinian Conflict,"Administrator(s), General Public, Student(s)",From the Right,No,No,Revoked,No,"Bonar was scheduled to moderate a panel on Islamophobia and antisemtism featuring Mafaz Al-Suwaidan, Madeline J. Levy, and Shaul Magid. Following complaints on social media about Bonar's affiliation with a faculty group that recently reposted an ""antisemitic"" cartoon on social media and about Al-Suwaiden's social media posts about Istael and Palestine, he Lowell House Faculty Deans and the Edmond and Lily Safra Center for Ethics withdrew as sponsors of the event. Al-Suwaidan and, presumably Levy, withdrew (Magid indicated he intended to proceed with the panel despite the controversy) and the panel was then canceled.",None.,"['https://www.thecrimson.com/article/2024/3/21/lowell-panel-canceled-backlash/', 'https://www.thecrimson.com/article/2024/3/20/islamophobia-antisemitism-panel-lowell-safra/']",679c09f212347602e887d661
2024,"University of California, Los Angeles",Public,Helena Hansen,Campus Speech,"Class or Policy Issues, Health, Race",Administrator(s),From the Right,No,No,Substantial Event Disruption,Not Applicable,"Hansen, a psychiatrist an anthropologist who is a a professor and Chair of Translational Social Science at the university known for her work examining the intersections of race, capitalism, and the opioid epidemic, was scheduled to deliver a lecture titled ""Beyond Magic Bullets: Whiteness as a Structural Driver of the Opioid Crisis"" to the university's Medical School. The talk was also scheduled to be broadcast via Zoom. Two days before the scheduled lecture, the university Medical School announced changes: the lecture's title was altered to ""BioSocial Futures: Toward a Symbiotic, Community Ecology of Health."" Additionally, UCLA restricted attendance to in-person only, removed the Zoom option, and prohibited any recording—despite the event initially being open to a broader audience. Hansen delivered the lecture to those in attendance.",None.,[],67dc0b32972ca00361d14e71
2023,Arizona State University,Public,Rashida Tlaib,Campus Speech,Israeli-Palestinian Conflict,Administrator(s),From the Right,No,No,Revoked,No,"Jewish students organized an email campaign asking the university president to uninvite Tlaib because of Tlaib's views on Israel. The university canceled Tlaib's talk, claiming organizers didn't meet university requirements for crowd management, parking, security, and insurance. Organizers claimed the administrative objections were a pretext for canceling the talk.","Neutral (Disingenuous), Appeased Protesters. A university spokesperson said ""[The event] was planned and produced by groups not affiliated with ASU and was organized outside of ASU policies and procedures.""",[],65c150fe79db8200391e8fdf
2023,"Arizona State University; Barrett, The Honors College",Public,Charlie Kirk,Campus Speech,"Elections, Gender, Health, Race, Sexuality",Faculty,From the Left,Yes,Yes,Disinvitation Attempt,Not Applicable,"Faculty circulated letters both for and against allowing Kirk (and Dennis Prager) to appear on campus because of their views on a range of issues —&nbsp;from election fraud to transgender issues. Barrett faculty, students and community members held a teach-in opposing the event shortly before the event, and students started an anti-Kirk and anti-Prager petition on Change.org. Some students and faculty also protested outside the event. Faculty who spoke out against the event claimed they only wanted the Honors College to disassociate itself from the event, not cancel it. One heckler was escorted out by security, but otherwise the event proceeded as planned.",None,[],65c150fe79db8200391e8fe6
2023,"Arizona State University; Barrett, The Honors College",Public,Dennis Prager,Campus Speech,"Elections, Gender, Health, Race, Sexuality",Faculty,From the Left,Yes,Yes,Disinvitation Attempt,Not Applicable,"Faculty circulated letters both for and against allowing Prager (and Charlie Kirk) to appear on campus because of their views on a range of issues —&nbsp;from election fraud to transgender issues. Barrett faculty, students and community members held a teach-in in opposition to the event shortly before the event, and students started an anti-Kirk and anti-Prager petition on Change.org. Some students and faculty also protested outside the event. Faculty who spoke out against the event claimed they only wanted the Honors College to disassociate itself from the event, not cancel it. One heckler was escorted out by security, but otherwise the event proceeded as planned.",None,[],65c150fe79db8200391e8fed
