Year,School,School Type,Speaker/Performer/Title,Type of Expression,Controversy Topic(s),Source(s),Political Motives of Source(s),Petition For,Petition Against,Outcome,Reinvited/ Rescheduled/ Relocated?,Controversy Explanation,Public Response,Read More,fire_id
2009,"University of Massachusetts, Amherst",Public,Don Feder,Campus Speech,Civil Liberties,Student(s),From the Left,No,No,Substantial Event Disruption,No,"Students protested Feder's opposition to hate crime laws and heckled him during his talk, causing him to leave the stage midway through the event. Event organizers were charged an unordinarily high security fee, yet security only removed one protester, standing by while others made it impossible for Feder to continue speaking over the commotion.","Neutral (Disingenuous). The university's executive director of news and media relations claimed that the university is committed to ""open exchange of ideas . . . [and that] the police handled the situation in the room without difficulty, which included removing one person. . . . [and that it was Feder's choice to end the event].""",[],65c1511379db8200391eaab1
2009,"University of Massachusetts, Amherst",Public,Raymond Luc Levasseur,Campus Speech,"Criminal or Other Misconduct, Police, Terrorism",Public Figure(s),From the Right,No,No,Revoked,Yes,"Members of the New Jersey and Massachusetts Fraternal Order of Police protested Levasseur’s appearance because of his terrorist record and wanted his talk canceled. The university supported the talk, but the Libraries’ Department, which had invited Levasseur, changed its mind and revoked the invitation. Levasseur was reinvited by a different university department, but the parole board denied him permission to travel.","Neutral. A university spokesperson said that ""understanding how and why people take different paths to seek social change are important. We can learn his story and how he was motivated. I think [this] is relevant to how we grapple with the issues.""",[],65c1511379db8200391eaab8
2009,University of North Carolina School of Law,Public,Michael Mukasey,Commencement Speech,"Civil Liberties, Foreign Affairs, Judiciary System, Terrorism","Faculty, Student(s)",From the Left,No,Yes,Disinvitation Attempt,Not Applicable,Students and faculty circulated a petition against the law school hosting Mukasey as commencement speaker because of Mukasey's views on the legality of torture. The student bar association that invited Mukasey stood by their choice. Mukasey spoke successfully.,None,[],65c1511379db8200391eaabf
2009,"University of North Carolina, Chapel Hill",Public,Tom Tancredo,Campus Speech,"Immigration, Race",Student(s),From the Left,No,No,Substantial Event Disruption,No,Students protested against Tancredo's views on immigration and the DREAM Act. Tancredo cut his speech short and left after a protester threw a rock that broke a window.,"Honor Roll
Neutral. The university president said: ""As someone who believes in free speech to my very bones and who also strongly believes that students need to hear from knowledgeable people with very different opinions, I was deeply disappointed that congressman Tancredo was not allowed to deliver his remarks.""",[],65c1511379db8200391eaac6
2009,"University of North Carolina, Chapel Hill",Public,Virgil Goode,Campus Speech,"Immigration, Race",Student(s),From the Left,No,No,Substantial Event Disruption,No,"Students protested Goode's views on immigration and the DREAM Act. Tom Tancredo, another invited speaker, cut his speech short and left after a protester threw a rock that broke a window.","Honor Roll
Neutral. The university president's statement included: ""As someone who believes in free speech to my very bones and who also strongly believes that students need to hear from knowledgeable people with very different opinions, I was deeply disappointed that congressman Tancredo [and Goode] was not allowed to deliver his remarks.""",[],65c1511379db8200391eaacd
2009,University of Notre Dame,Religious,Barack Obama,Commencement Speech,Abortion,"Activist(s), Faculty, Public Figure(s), Stakeholder(s), Student(s)",From the Right,No,Yes,Disinvitation Attempt,Not Applicable,"Students, community members, and the Cardinal Newman Society criticized former President Obama's support for abortion access. A petition created by the Cardinal Newman Society with more than 300,000 signatories opposing the university's invitation of Obama to deliver a commencement speech was delivered to the university administration. Obama spoke successfully.","Condemned Content of Expression, Appeased Protesters. A news report stated that Notre Dame’s president ""has taken the opportunity to restate publicly his and Notre Dame’s opposition to Obama’s [positions on abortion and stem cell research].”",[],65c1511379db8200391eaad4
2009,University of Oklahoma,Public,Richard Dawkins,Campus Speech,Scientific Views,Politician(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,"A state representative introduced a resolution calling on the university to revoke Dawkins' invitation because of Dawkins' views on evolution. Dawkins spoke successfully, although the state legislature investigated the university for hosting him.",None,[],65c1511379db8200391eaadb
2009,University of San Francisco,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and called on its members and other concerned Catholics to encourage the university to cancel the performance. The event took place.",Unknown,[],65c1511379db8200391eaae2
2009,University of Southern California,Secular,David Horowitz,Campus Speech,Israeli-Palestinian Conflict,Student(s),From the Left,No,No,Attempted Disruption,Not Applicable,"During a speech by Horowitz on Islamic racism and the Israeli-Palestinian conflict, students who stood with their back to Horowitz were escorted out because they obstructed the view of other audience members.",None,[],65c1511379db8200391eaae9
2009,"University of Texas, Austin",Public,David Horowitz,Campus Speech,Political Views,Student(s),From the Left,No,No,Attempted Disruption,Not Applicable,Students heckled Horowitz throughout his speech on academic freedom despite administrators warning that they could be arrested.,None,[],65c1511379db8200391eaaf0
2009,University of Vermont,Public,Ben Stein,Commencement Speech,"Religion, Scientific Views",Anonymous,From the Left,No,No,Withdrew,No,"Stein withdrew from delivering a commencement speech after the university received complaints from ""persons both internal and external to the university"" about Stein's opposition to the theory of evolution.","Encouraged (or Approved of) Self-Censorship. The university president said: ""I did not ask him not to come. . . . I was not going to let him be blindsided by controversy.""",[],65c1511379db8200391eaaf7
