Year,School,School Type,Speaker/Performer/Title,Type of Expression,Controversy Topic(s),Source(s),Political Motives of Source(s),Petition For,Petition Against,Outcome,Reinvited/ Rescheduled/ Relocated?,Controversy Explanation,Public Response,Read More,fire_id
2006,University of San Francisco,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the university president to cut all ties or sponsorships of the performance. A sample letter — along with the university president's address, email, and phone number —&nbsp;was provided on the Cardinal Newman Society's website. The event took place.",Unknown,[],65c1511679db8200391eaeb2
2006,"University of Texas, Austin",Public,William Kristol,Campus Speech,Political Views,Student(s),From the Left,No,No,Attempted Disruption,Not Applicable,Students protested Kristol's right to speak on campus and heckled him during his speech because they believed the U.S. government was complicit in the 9-11 attacks. Kristol spoke despite disruptions.,Unknown,[],65c1511679db8200391eaeb9
2006,San Francisco State University,Public,Edward Said Mural,Artwork,Israeli-Palestinian Conflict,"Activist(s), Administrator(s)",From the Right,No,No,Substantial Event Disruption,Yes,"The university president vetoed the student government's approval of a mural depicting the life of the deceased Said, a Palestinian and Columbia University professor, after complaints from local Jewish community organizations that the mural contained ""antisemitic"" imagery. The president approved the mural a year later, after imagery depicting the character ""Handala,” a Palestinian symbol of defiance, was removed.",None.,"['https://jweekly.com/2006/10/06/sfsu-president-keeping-jews-safe-with-mural-censure/', 'https://forward.com/news/11845/bay-area-artists-fight-over-framing-of-mideast-con-00653/', 'https://artforces.org/projects/murals/usa/edward-said-mural-sf-state-university/', 'https://goldengatexpress.org/51853/uncategorized/edward-said-mural/']",679bf3df3f17b103113e678e
2005,Antioch College,Secular,Ward Churchill,Commencement Speech,Terrorism,Administrator(s),From the Right,No,No,Revoked,No,"College officials disinvited Churchill from delivering a commencement speech, fearing that Churchill's views on 9/11 would alienate students.","Neutral. An associate dean said: “The controversies are worth it, but they take away money, and other things we need . . . We aren't strong now, we're transitioning.”",[],65c1511679db8200391eaec0
2005,Arkansas State University,Public,David Corn,Campus Speech,Political Views,Administrator(s),From the Right,No,No,Revoked,Yes,"The university president disinvited Corn because of Corn's criticism of George Bush, but Corn was reinvited to campus the following year.",None,[],65c1511679db8200391eaec7
2005,Bellarmine University,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the university president to cut all ties or sponsorships of the performance. A sample letter — along with the university president's address, email, and phone number —&nbsp;was provided on the Cardinal Newman Society's website. The event took place.",Unknown,[],65c1511679db8200391eaece
2005,Boston College,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the college president to cut all ties or sponsorships of the performance. A sample letter — along with the college president's address, email, and phone number —&nbsp;was provided on the Cardinal Newman Society's website. The event took place.",Unknown,[],65c1511679db8200391eaed5
2005,Bowling Green State University,Public,David Horowitz,Campus Speech,Political Views,"Faculty, Student(s)",From the Left,No,No,Attempted Disruption,Not Applicable,"Students heckled Horowitz throughout his speech, objecting to Horowitz' conservative views. Horowitz spoke through the constant disruptions.",Unknown,[],65c1511679db8200391eaedc
2005,Butler University,Secular,David Horowitz,Campus Speech,Political Views,Student(s),From the Left,No,No,Attempted Disruption,Not Applicable,"Students attempted to shut down the event by throwing a pie at Horowitz, objecting to Horowitz' conservative views. Horowitz spoke despite the disruption.","Honor Roll
Neutral. The university president said: ""A university is at its best a forum for the open exchange of ideas and opinions. Mr. Horowitz's right to express his opinions was violated by those who disrupted his speech. . . We support the constitutional rights of free speech granted to Mr. Horowitz as well as to those who disagree with his opinions. The university does not support this inappropriate behavior.""",[],65c1511679db8200391eaee3
2005,Cabrini College,Religious,Helen Thomas,Commencement Speech,"Abortion, Scientific Views",Activist(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,"The Cardinal Newman Society declared Thomas an ""inappropriate speaker"" for commencement and urged the college to rescind its invitation of Thomas because of Thomas' views on abortion and her support for stem-cell research. Thomas spoke sucessfully.",Unknown,[],65c1511679db8200391eaeea
2005,"California State University, East Bay",Public,Richard Rodriguez,Commencement Speech,"Immigration, Race",Student(s),From the Left,No,No,Withdrew,No,"Students criticized the university's selection of Rodriguez as commencement speaker, objecting to Rodriguez' opposition to affirmative action and bilingual education, and they threatened to boycott commencement. Rodriguez withdrew from speaking at commencement despite administrative support.","Neutral. A university spokesperson said: ""We are a university that has always prided itself on the expression of free ideas. The sad part is people doing this [protesting and causing the speaker to withdraw] based on a book they haven't read.""",[],65c1511679db8200391eaef1
2005,Calvin College,Religious,George W. Bush,Commencement Speech,Foreign Affairs,"Alumni, Faculty",From the Left,No,No,Disinvitation Attempt,Not Applicable,"Calvin College professors opposed the college's selection of Bush as a commencement speaker because of Bush's position on torture and the Iraq War. Alumni ""with more liberal political views vowed to never give another dollar or encourage their children to come"" to Calvin. Bush spoke successfully.","Honor Roll
Neutral.  The college provost said: ""When the White House comes calling, you're thrust into the national public eye. But we thought, What kind of a witness would it be to our students to say, 'No thanks. We can't handle your being here.'""",[],65c1511679db8200391eaef8
2005,Canisius College,Religious,Hillary Clinton,Campus Speech,Abortion,"Activist(s), Public Figure(s)",From the Right,No,No,Disinvitation Attempt,Not Applicable,The Cardinal Newman Society objected to the college having Clinton speak because Clinton's pro-choice position on abortion. Clinton spoke successfully.,"Neutral. The college vice president / general counsel told reporters: ""We don't think that having Sen. Clinton here constitutes an endorsement of every position she holds currently, has held or will hold in the future.""",[],65c1511679db8200391eaeff
2005,Carlow University,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the university president to cut all ties or sponsorships of the performance. A sample letter — along with the university president's address, email, and phone number —&nbsp;was provided on the Cardinal Newman Society's website. The event took place.",Unknown,[],65c1511679db8200391eaf06
2005,College of Mount Saint Vincent,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the college president to cut all ties or sponsorships of the performance. A sample letter — along with the college president's address, email, and phone number —&nbsp;was provided on the Cardinal Newman Society's website. The event took place.",Unknown,[],65c1511679db8200391eaf0d
2005,College of Saint Benedict,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the college president to cut all ties or sponsorships of the performance. A sample letter — along with the college president's address, email, and phone number —&nbsp;was provided on the Cardinal Newman Society's website. The event took place.",Unknown,[],65c1511679db8200391eaf14
2005,College of Saint Rose,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the college president to cut all ties or sponsorships of the performance. A sample letter — along with the college president's address, email, and phone number —&nbsp;was provided on the Cardinal Newman Society's website. The event took place.",Unknown,[],65c1511679db8200391eaf1b
2005,College of the Holy Cross,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the college president to cut all ties or sponsorships of the performance. A sample letter — along with the college president's address, email, and phone number —&nbsp;was provided on the Cardinal Newman Society's website. The event took place.",Unknown,[],65c1511679db8200391eaf22
2005,DePaul University,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the university president to cut all ties or sponsorships of the performance. A sample letter — along with the university president's address, email, and phone number —&nbsp;was provided on the Cardinal Newman Society's website. The event took place.",Unknown,[],65c1511679db8200391eaf29
2005,Dominican University of California,Religious,Richard Riordan,Commencement Speech,Other,Activist(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,"The Cardinal Newman Society declared Riordan an ""inappropriate speaker"" for commencement, claiming Riordan's views don't align with Catholic teachings. Riordan spoke successfully.",Unknown,[],65c1511679db8200391eaf30
2005,Earlham College,Secular,William Kristol,Campus Speech,"Foreign Affairs, Political Views, Terrorism",Student(s),From the Left,No,No,Disinvitation Attempt,Not Applicable,"A student threw a pie at Kristol and attempted to shut down the event, objecting to Kristol's support for the war on terror. Kristol completed his speech and the student who threw the pie was suspended pending a college judicial hearing.",Neutral. A college spokesperson said:  “We express our appreciation to Mr. Kristol for his graciousness in completing his presentation under less-than-ideal circumstances.”,[],65c1511679db8200391eaf37
2005,Eastern Washington University,Public,Ward Churchill,Campus Speech,Terrorism,Administrator(s),From the Right,No,No,Revoked,Yes,The university claimed security concerns but likely disinvited Churchill because of his negative comments about 9/11 victims. Churchill was later reinvited to speak after students protested his disinvitation.,"Neutral (Disingenuous). A university spokesperson said the invitation to speak was revoked: ""because of security concerns.""",[],65c1511679db8200391eaf3e
2005,"Fordham University, Lincoln Center",Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality","Activist(s), Student Group(s)",From the Right,No,Yes,Attempted Disruption,Not Applicable,"The Cardinal Newman Society opposed a student-sponsored performance of The Vagina Monologues because ""the play's emphasis on genital anatomy and sexual activity, including lesbian encounters and masturbation,  degrades women and fails to appreciate their true dignity and vocation."" The dean of student life refused to allow the play to be performed, but then faculty agreed to sponsor the performance. The Knights of Columbus and other student groups protested the performance and, at one staging, members of the Knights of Columbus reportedly threw holy water on attendees as they entered the auditorium.",Unknown,[],65c1511679db8200391eaf45
2005,"Fordham University, Lincoln Center",Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality","Activist(s), Administrator(s)",From the Right,No,No,Rejected,Yes,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the university president to cut all ties or sponsorships of the performance. A sample letter — along with the university president's address, email, and phone number — was provided on the Cardinal Newman Society's website. The dean of student life refused to allow the performance as a student activity, so students found faculty to sponsor the performance and the play was performed.","Condemned Content of Expression. The Dean of Students said: ""Neither [Student Affairs or Res. Life] supports the program. My sense is that it would be rather inconsistent for Student Affairs to refrain from supporting the program via one office while providing support from another.""",[],65c1511679db8200391eaf4c
2005,Georgetown University,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the university president to cut all ties or sponsorships of the performance. A sample letter — along with the university president's address, email, and phone number —&nbsp;was provided on the Cardinal Newman Society's website. The event took place.",Unknown,[],65c1511679db8200391eaf53
2005,Hamilton College,Secular,Ward Churchill,Campus Speech,Terrorism,"Administrator(s), Politician(s), Student(s)",From the Right,No,No,Revoked,No,Churchill's visit was canceled after students complained about his comments regarding 9/11 and the college claimed it received death threats against Churchill and the college president.,"Neutral. The college president said: ""'We did our best to protect the principles and the values that we believe in -- the right to speak, to study, to teach freely -- but the point came that I simply felt that this threat was too large for us to handle.""",[],65c1511679db8200391eaf5a
2005,Harding University,Religious,Ann Coulter,Campus Speech,"Civil Liberties, Foreign Affairs","Administrator(s), Alumni",From the Left,No,No,Revoked,No,"University administrators disinvited Coulter from the school's annual Distinguished Lecture Series because of Coulter's conservative views on the death penalty and war, alleging her views are un-Christian.","Condemn Content of Expression, Appeased Protesters. The director of public relations stated: ""We believe that some of her comments are very controversial and confrontational, and we just weren't comfortable with that.""",[],65c1511679db8200391eaf61
2005,Harvard University,Secular,Norman Finkelstein,Campus Speech,Israeli-Palestinian Conflict,Student(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,"Harvard students asked Students for Justice in Palestine to disinvite Finkelstein because of Finkelstein's alleged anti-Semitic rhetoric, but SJP chose not to do so. Finkelstein spoke successfully.",Unknown,[],65c1511679db8200391eaf68
2005,Indian River Community College,Community College,The Passion of the Christ,Cinema,"Religion, Other",Administrator(s),From the Left,No,No,Revoked,No,"The college banned the film, The Passion of the Christ, from campus because it is R-rated, despite having previously hosted a screening of the R-rated documentary, Welcome to Sarajevo, and a live performance entitled F**king for Jesus that described simulated sex with “the risen Christ.” After FIRE intervened, students were allowed to show the film.","Mistaken on the Law.  FIRE reported that ""the university's attorney claimed that the college maintained a blanket ban on R-rated movies, arguing that because the college contains some dual-enrollment high school students, it would be 'inappropriate' to risk having these students 'wander into R-rated movies that they would not normally be able to see.'""",[],65c1511679db8200391eaf6f
2005,John Carroll University,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the university president to cut all ties or sponsorships of the performance. A sample letter — along with the university president's address, email, and phone number —&nbsp;was provided on the Cardinal Newman Society's website. The event took place.",Unknown,[],65c1511679db8200391eaf76
2005,Loyola College,Religious,Rudolph Giuliani,Commencement Speech,Abortion,"Activist(s), Public Figure(s)",From the Right,No,No,Disinvitation Attempt,Not Applicable,"The Cardinal Newman Society declared Giuliani an ""inappropriate speaker"" for commencement and urged the university to rescind its invitation of Giuliani because of Giuliani's views on abortion. A local bishop refused to attend the commencement. Giuliani spoke successfully.",Unknown,[],65c1511679db8200391eaf7d
2005,Loyola University of Chicago,Religious,Leroy Hood,Commencement Speech,"Religion, Scientific Views",Activist(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,"The Cardinal Newman Society declared Hood an ""inappropriate speaker"" for commencement and urged the university to rescind its invitation of Hood because Hood's views run counter to Vatican teachings on stem-cell research. Hood spoke successfully.","Honor Roll, High Honors
Neutral. A university spokesperson said: ""We are acknowledging this man's contribution to science. . . . This is not church; it's an institution of higher education. . . . This doesn't run counter to anything that the Jesuits have done for hundreds of years""",[],65c1511679db8200391eaf84
2005,Loyola University of New Orleans,Religious,Mary Landrieu,Commencement Speech,Abortion,Activist(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,"The Cardinal Newman Society declared Landrieu an ""inappropriate speaker"" for commencement because of Landrieu's views on abortion. Landrieu spoke successfully.","Supported Speaker (or Artist) as a Person. The university's public statement said ""Loyola sought to honor the Landrieu's 'as a family' for lives of public service.""",[],65c1511679db8200391eaf8b
