Year,School,School Type,Speaker/Performer/Title,Type of Expression,Controversy Topic(s),Source(s),Political Motives of Source(s),Petition For,Petition Against,Outcome,Reinvited/ Rescheduled/ Relocated?,Controversy Explanation,Public Response,Read More,fire_id
2013,Skidmore College,Secular,Cynthia Carroll,Commencement Speech,Environment,Student(s),From the Left,No,Yes,Disinvitation Attempt,Not Applicable,"Students, critical of Carroll's environmental record when CEO of a mining company, stormed a faculty meeting and petitioned the college to disinvite her from delivering a commencement speech. Carroll spoke successfully.",None,[],65c1511079db8200391ea6ac
2013,Saint John's University,Religious,Peter King,Commencement Speech,"Immigration, Race, Religion, Terrorism",Student(s),From the Left,No,Yes,Disinvitation Attempt,Not Applicable,"Students petitioned the administration to rescind its invitation of King, objecting to King's views regarding Muslims, domestic terrorism, and bilingual education. King spoke successfully.",Supported Speaker (or Artist) as a Person. A university spokesperson stated that “Congressmen King was selected as our speaker in Queens based on his bipartisan efforts to secure much needed federal funding for New Yorkers following Superstorm Sandy.”,[],65c1511079db8200391ea6b3
2013,Swarthmore College,Secular,Robert Zoellick,Commencement Speech,"Class or Policy Issues, Foreign Affairs",Student(s),From the Left,No,No,Withdrew,No,"Students protested the college's selection of Zoellick to deliver a commencement speech, referring to Zoellick as a ""war criminal"" for his support for the Iraq War. Students also objected to Zoellick's record as the head of the World Bank. Zoellick withdrew because he didn't want the ceremony to be disrupted.","Neutral. The VP for college and community relations said in an interview before Zoellick withdrew that ""Over our very long history we've invited alums of many perspectives and fields … to come back and speak, and typically, in fact, when we do so, we usually have 3 or 4 speakers, . . . all of which reflect the college’s commitment to leaders who … can make a difference…. We don’t find that Robert Zoellick is out of that practice.""",[],65c1511079db8200391ea6ba
2013,Tuskegee University,Secular,Louis Farrakhan,Campus Speech,"Race, Sexuality","Activist(s), Stakeholder(s)",From the Left and From the Right,No,No,Disinvitation Attempt,Not Applicable,"A university trustee protested the university's invitation of Farrakhan to campus, claiming Farrakhan had made racist, anti-Semitic, and homophobic comments. The Anti-Defamation League asked the university to rescind Farrakhan's invitation to speak on campus. Farrakhan spoke successfully.","Supported Speaker (or Artist) as Person (Not Views). A news report stated that the president of the university ""educated the attentive audience to the striking parallels of both the University and the Nation of Islam, and instructed the audience on the dangers of needless separation and disunity based on religious and ideological differences.""",[],65c1511079db8200391ea6c1
2013,"University of California, Santa Barbara",Public,David Harris-Gershon,Campus Speech,Israeli-Palestinian Conflict,Student(s),From the Right,No,No,Revoked,No,The campus Hillel group rescinded its invitation of Harris-Gershon after learning that Harris-Gershon supported a two-state solution to the Israeli-Palestinian conflict.,None,[],65c1511079db8200391ea6c8
2013,University of Detroit Mercy,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Cancellation Attempt,Not Applicable,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and directly contacted the university to confirm that the performance was scheduled and ask that it be canceled. The event took place.",Unknown,[],65c1511079db8200391ea6cf
2013,University of Detroit Mercy School of Law,Religious,Debbie Dingell,Commencement Speech,Abortion,Activist(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,The Cardinal Newman Society urged the university to rescind its invitation of Dingell to deliver a commencement speech because of Dingell's views on abortion. Dingell spoke successfully.,Unknown,[],65c1511079db8200391ea6d6
2013,"University of Massachusetts, Amherst",Public,Karl Rove,Campus Speech,"Foreign Affairs, Terrorism","Student Group(s), Student(s)",From the Left,No,No,Attempted Disruption,Not Applicable,A student group challenged Rove's appearance and heckled Rove due to his involvement in Bush administration policies related to the Iraq War and the torture of detainees. Rove finished his remarks.,"Honor Roll
Neutral. The executive director of the campus news office said ""UMass has a long tradition of open and free speech.""",[],65c1511079db8200391ea6dd
2013,"University of Michigan, Ann Arbor",Public,Alice Walker,Campus Speech,Israeli-Palestinian Conflict,"Administrator(s), Stakeholder(s)",From the Right,No,No,Revoked,Yes,"Donors pressured the university to rescind an invitation to Walker to speak at a 50th anniversary event, claiming Walker is anti-Israel. The university concluded that Walker wasn't the ""optimum"" speaker for the event and later invited Walker to speak at a different event, which she accepted.","Condemned Speaker (or Artist), Appeased Protesters. The Center for Education of Women director who had invited Walker wrote: ""Upon further research, I decided to withdraw our invitation because I did not think Ms. Walker would be the optimum choice for the celebratory nature of our 50th anniversary event.""",[],65c1511079db8200391ea6e4
2013,"University of Michigan, Ann Arbor",Public,Jennifer Gratz,Campus Speech,Race,Student(s),From the Left,No,No,Attempted Disruption,No,"Students protested Gratz because of her opposition to affirmative action. The university refused to pay Gratz' speaker's fee, claiming that it would not cover politically oriented talks, but the university had covered other political speakers in the past. A lawsuit was filed against the university as a result by the campus chapter of Young Americans for Liberty. The university settled the lawsuit, paying $5,000 to YAL and $9,000 for YAL's legal fees.","Mistaken on the Law. An article reported that ""the University rejected the group’s $1,000 reimbursement request for Gratz’s fee because it deemed the speech political. Granting the funds would have infringed upon a University rule that prohibits funding any events that are political or religious in nature.""",[],65c1511079db8200391ea6eb
