Year,School,School Type,Speaker/Performer/Title,Type of Expression,Controversy Topic(s),Source(s),Political Motives of Source(s),Petition For,Petition Against,Outcome,Reinvited/ Rescheduled/ Relocated?,Controversy Explanation,Public Response,Read More,fire_id
2007,University of Southern Indiana,Public,Gary Yourofsky,Campus Speech,"Criminal or Other Misconduct, Health, Other",Administrator(s),From the Right,No,No,Revoked,Yes,"Upon seeing that Yourofsky's website made statements in favor of veganism which included advocating for breaking the law, the university provost canceled Yourofsky's talk, citing the college handbook's prohibition on outside speakers who advocate for violating any federal or state law. After objections from free speech advocates at the school, the policy was revised and Yourofsky gave his talk.","Condemned Content of Expression. A university statement said: ""Our university handbook states that outside speakers must 'not advocate violation of any federal or state law.'”",[],65c1511579db8200391ead69
2007,University of St. Thomas,Religious,Desmond Tutu,Campus Speech,Israeli-Palestinian Conflict,Administrator(s),From the Right,No,No,Revoked,Yes,"The university disinvited Tutu, arguing his criticism of Israel might offend the Jewish community. Tutu was eventually reinvited but chose to speak somewhere else.","Appeased Protesters. The university president said: ""He [Tutu] has been critical of Israel and Israeli policy regarding the Palestinians, so we talked with people in the Jewish community and they said they believed it would be hurtful to the Jewish community, because of things he's said.”",[],65c1511579db8200391ead70
2007,Villanova University,Religious,Chris Matthews,Commencement Speech,Abortion,Activist(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,The Cardinal Newman Society urged the university to rescind its invitation of Matthews to deliver a commencement speech because Matthews said he does not oppose partial-birth abortions. Matthews spoke successfully.,Unknown,[],65c1511579db8200391ead77
2007,Walsh University,Religious,John Spitzer,Commencement Speech,"Civil Liberties, Sexuality",Activist(s),From the Right,No,No,Disinvitation Attempt,Not Applicable,The Cardinal Newman Society urged the university to rescind Spitzer's invitation because of his support for gay marriage. Spitzer spoke successfully.,Unknown,[],65c1511579db8200391ead7e
2007,Miami University,Public,Growing Up,Artwork,Race,Student(s),From the Left,No,No,Removed,No,"A class art project done by three students, and pre-approved by their professor and another staff member in the university's Art Department, that included a tire swing and seven noose-like ropes was removed from display by campus police after another student called in to complain that the artwork was ""racist.""","Condemned Expression.  In a statement the university president said: ""Given all that's happened, especially with the events in Jena, this was highly inappropriate and this is where I hold them accountable. These are symbols that are known to project hatred and they should've known better.""",[],6792561f5804230313e2cd4c
2007,Seton Hall University,Religious,Tom Delay,Campus Speech,"Criminal or Other Misconduct, Political Views",Administrator(s),From the Left,No,No,Rejected,No,"The university denied the College Republicans' request to host Delay (and Sirius radio host Andrew Wilkow) on campus because Delay's recent indictments indictments raised “legal and ethical questions” that “did not make him an ideal choice.” The university had previously allowed a speaker on campus who had been “charged in a civil suit with providing aid to the Taliban and Al-Qaida terrorist networks at the time, and was expected to appear in court three days after his visit to the university.”","Disingenuous. A university spokesperson said: ""The University felt the legal and ethical questions surrounding him did not make him an ideal choice to speak on campus at this time.""","['https://www.thefire.org/news/double-standard-seton-hall', 'https://observer.com/2007/09/a-liberal-agenda-at-seton-hall/', 'https://www.nationalreview.com/corner/free-speech-college-campuses-mark-r-levin/']",67a3d5f572e87c1fd8994766
2007,Seton Hall University,Religious,Andrew Wilkow,Campus Speech,"Criminal or Other Misconduct, Political Views",Administrator(s),From the Left,No,No,Rejected,No,"The university denied the College Republicans' request to host an event featuring Wilkow and Tom Delay on campus because Delay's recent indictments indictments raised “legal and ethical questions” that “did not make him an ideal choice.” The university had previously allowed a speaker on campus who had been “charged in a civil suit with providing aid to the Taliban and Al-Qaida terrorist networks at the time, and was expected to appear in court three days after his visit to the university.”","Disingenuous.  A university spokesperson said: ""The University felt the legal and ethical questions surrounding him did not make him an ideal choice to speak on campus at this time.""","['https://www.thefire.org/news/double-standard-seton-hall', 'https://observer.com/2007/09/a-liberal-agenda-at-seton-hall/', 'https://www.nationalreview.com/corner/free-speech-college-campuses-mark-r-levin/']",67a3d7fd304b5222289f7307
2006,Assumption College,Religious,The Vagina Monologues,Performance,"Gender, Religion, Sexuality",Activist(s),From the Right,No,No,Rejected,No,"The Cardinal Newman Society opposed the performance of the play, The Vagina Monologues, and encouraged students and others to ask the college president to cut all ties or sponsorships of the performance. A sample letter — along with the college president's address, email, and phone number — was provided on the Cardinal Newman Society's website. The college informed the Cardinal Newman Society that the performance would not occur.",Unknown,[],65c1511579db8200391ead85
2006,Ball State University,Public,David Horowitz,Campus Speech,Political Views,Student(s),From the Left,No,No,Attempted Disruption,Not Applicable,"Students heckled and threw pies at Horowitz, objecting to Horowitz' conservative views. Horowitz finished his speech.",None,[],65c1511579db8200391ead8c
2006,Boston College,Religious,Condoleezza Rice,Commencement Speech,Foreign Affairs,"Faculty, Student(s)",From the Left,No,Yes,Disinvitation Attempt,Not Applicable,"Students and faculty asked the college to disinvite Rice from delivering a commencement speech because of Rice's support for the Iraq war, but college officials refused to disinvite her. Rice spoke successfully.",None,[],65c1511579db8200391ead93
